"category","km2_surveyed","km2_unsurveyed","both"
"rangers and other staff both separately known",12065277.546676379,6446888.453323621,18512166
"rangers and other staff both known but lumped together",362000,121447,483447
"only ranger staff known",1273889,699909,1973798
"only other staff known",0,0,0
"no data",0,486655.35,486655.35
"total",13701166.546676379,7754899.803323621,21456066.35
