"who","obs","PA","total_obs","total_PA","obs_coverage","PA_coverage"
"All",117,17830551,249,20570541.35,0.46987951807228917,0.8668002799060998
"Rangers",123,18434924,249,20570541.35,0.4939759036144578,0.896180790108375
"Others",112,17348825,249,20570541.35,0.4497991967871486,0.8433820337936804
