"category","full_survey","partial_survey","all_survey"
"rangers and other staff both separately known",57,98,155
"rangers and other staff both known but lumped together",1,7,8
"only ranger staff known",6,7,13
"only other staff known",0,0,0
"no data",0,68,68
"total",64,180,244
