"category","full_survey","partial_survey","both"
"rangers and other staff both separately known",54,96,150
"rangers and other staff both known but lumped together",1,6,7
"only ranger staff known",7,9,16
"only other staff known",0,0,0
"no data",0,77,77
"total",62,188,250
