"category","full_survey","partial_survey","all_survey"
"rangers and non-rangers both separately known",57,98,155
"rangers and non-rangers both known but lumped together",1,7,8
"only rangers known",6,7,13
"only non-rangers known",0,0,0
"no data",0,68,68
"total",64,180,244
