"who","obs","PA","total_obs","total_PA","obs_coverage","PA_coverage"
"All personnel",121,18206603,244,20561754.35,0.4959016393442623,0.8854596105998124
"Rangers",125,18482803,244,20561754.35,0.5122950819672131,0.8988923165498278
"Non-rangers",115,17632813,244,20561754.35,0.4713114754098361,0.8575539178153833
