"category","km2_surveyed","km2_unsurveyed","both"
"rangers and non-rangers both separately known",12563257.546676379,6275815.453323621,18839073
"rangers and non-rangers both known but lumped together",448582,126929,575511
"only rangers known",232252,619912,852164
"only non-rangers known",0,0,0
"no data",0,295006.35,295006.35
"total",13244091.546676379,7317662.803323621,20561754.35
