"who","number","density","number_required","surplus_required","density_required","number_required_2030","surplus_required_2030","density_required_2030"
"all",555435.5303324693,37.01915564834729,1542876.473145748,987440.9428132788,13.326896033405024,2983217.327601683,2427781.7972692135,13.326896033405024
"rangers",285794.0338786762,71.94605874358025,793872.316329656,508078.28245097987,25.900581147688893,1534985.9118333922,1249191.877954716,25.900581147688893
